Parameter,Descriptio,Default value
CHAT_HOME,URL to web chat to insert in documentation,
ODOO_SETUPS,Names of Odoo manifest files,__manifest__.py __openerp__.py __odoo__.py __terp__.py
dbtemplate,DB template name in Odoo test,openerp_template
dbname,DB name in Odoo test,openerp_test
dbuser,Postgresql user,postgres
UNBUFFER,Use unbuffer,0
virtualenv_opts,Default option to create virtual environment,
NPM_CONFIG_PREFIX,N/D,\$HOME/.npm-global
PS_TXT_COLOR,N/D,0;97;40
PS_RUN_COLOR,N/D,1;36;48;5
PS_NOP_COLOR,N/D,31;105
PS_HDR1_COLOR,N/D,97;48;5;22
PS_HDR2_COLOR,N/D,30;43
PS_HDR3_COLOR,N/D,30;47
PKGS_LIST,N/D,clodoo devel_tools lisa maintainer-quality-tools odoo_score os0 python-plus travis_emulator wok_code z0bug-odoo z0lib zar zerobug
PYTHON_MATRIX,Python version available to test (space separated),
